px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.091968	2.89144	0	0	0	0.091968	2.89144	-0.0024	2.85	-0.0314	0.9995	6.95322e-310
-0.0304388	3.11478	-0.0453358	5.20417e-18	1.38778e-17	-0.0328	3.1198	-0.0431	3.2476	-0.1564	0.9877	0.0640955
-0.138882	3.15652	-0.265348	-0.319942	-0.227617	-0.146799	3.39573	-0.1334	3.637	-0.279	0.9603	9.91517
-0.158933	3.54046	-0.319171	-1.74962	-0.994594	-0.0518	3.9077	-0.2717	4.0121	-0.3971	0.9178	12.6206
-0.17362	3.97333	-1.1979	-2.02458	-0.871576	-0.243573	4.58243	-0.456	4.3668	-0.509	0.8607	7.62211
-0.494872	4.61589	-1.3247	-0.284169	-0.517969	-0.6732	4.8038	-0.6833	4.6957	-0.6129	0.7902	10.8928
-0.980387	4.85222	-1.44323	-0.361794	-0.320289	-1.11876	5.35376	-0.95	4.9934	-0.7071	0.7071	4.17568
-1.3706	5.25357	-1.49834	-0.765133	-0.150269	-1.38	5.3145	-1.2519	5.2554	-0.7902	0.6129	0.764197
-1.45536	5.39926	-0.739826	-0.725897	0.0937927	-1.40613	5.37429	-1.5843	5.4775	-0.8607	0.509	2.28698
-1.75805	5.6725	-0.975342	-0.688751	0.127768	-1.7874	5.7227	-1.9418	5.6562	-0.9178	0.3971	0.555164
-2.11237	5.823	-1.04825	-0.406174	0.322996	-2.16721	5.84431	-2.319	5.7886	-0.9603	0.279	0.210973
-2.55131	5.82761	-1.12042	-0.0558415	0.476298	-2.5696	5.8095	-2.7098	5.8728	-0.9877	0.1564	0.183113
-2.84994	5.86056	-0.937152	0.0429654	0.418774	-2.78865	5.87606	-3.108	5.9073	-0.9995	0.0314	0.306479
-3.30065	5.82153	-1.08849	0.192421	0.412357	-3.3289	5.8368	-3.5075	5.8916	-0.9956	-0.0941	0.183281
-3.80655	5.80133	-1.23722	0.208658	0.314953	-3.98795	6.04195	-3.9018	5.8259	-0.9759	-0.2181	1.38623
-4.21488	5.71098	-1.15216	0.29091	0.284401	-4.2057	5.7237	-4.2848	5.7114	-0.9409	-0.3387	0.0561544
-4.47228	5.56411	-0.819103	0.575727	0.511352	-4.55887	5.78509	-4.6504	5.5498	-0.891	-0.454	2.00778
-4.83804	5.48541	-0.88571	0.576725	0.38488	-4.9084	5.5559	-4.9928	5.3436	-0.8271	-0.5621	1.24811
-5.10084	5.16841	-0.992191	0.840041	0.438536	-4.92924	4.91835	-5.3068	5.0961	-0.7501	-0.6613	1.45863
-5.59302	4.60148	-1.56532	1.01426	0.43617	-5.6574	4.5482	-5.5872	4.8112	-0.6613	-0.7501	1.70274
-5.56468	4.35465	-0.85485	1.24198	0.406318	-5.11574	4.29227	-5.8297	4.4935	-0.5621	-0.8271	5.69884
-5.89207	4.00764	-1.03946	1.19945	0.299478	-6.0143	4.0355	-6.0305	4.1478	-0.454	-0.891	1.96803
-5.99059	4.03664	-0.406626	1.20556	0.236251	-6.2625	4.51727	-6.1864	3.7797	-0.3388	-0.9409	6.48749
-6.1468	3.4048	-1.14082	1.33999	0.241154	-6.1121	3.2664	-6.2949	3.395	-0.2182	-0.9759	3.75003
-6.30655	2.95928	-1.2255	1.3317	0.174967	-6.4624	2.99194	-6.3543	2.9997	-0.0941	-0.9956	0.407868
-6.40783	2.64495	-1.01408	1.37888	0.164601	-6.4169	2.6834	-6.3637	2.6	0.0314	-0.9995	0.311413
-6.42673	2.13133	-1.27823	1.63551	0.388058	-6.58283	2.11514	-6.323	2.2024	0.1564	-0.9877	1.33477
-6.30835	1.97336	-0.774667	1.87529	0.459417	-6.2968	2.0497	-6.2327	1.813	0.279	-0.9603	1.40748
-6.08745	1.60704	-0.775692	2.09738	0.420632	-5.54131	1.40191	-6.0944	1.4379	0.3971	-0.9178	5.53564
-5.92583	1.19826	-1.00686	2.13556	0.319912	-5.9225	1.1463	-5.9101	1.0832	0.509	-0.8608	0.499118
-5.77282	0.694195	-1.35758	2.0395	0.19911	-6.07492	0.637719	-5.6828	0.7543	0.6129	-0.7902	2.21862
-5.32446	0.286541	-1.44472	2.36861	0.362528	-5.2584	0.2805	-5.4161	0.4566	0.7071	-0.7071	0.816618
-4.97722	-0.0799612	-1.26906	2.40885	0.247413	-4.89008	0.190773	-5.1142	0.1946	0.7901	-0.6129	1.31675
-4.80644	-0.0216201	-0.757513	2.70213	0.38887	-4.8815	0.0198	-4.7818	-0.0275	0.8607	-0.5091	1.60264
-4.29398	-0.230406	-1.61856	2.92671	0.481332	-4.51714	-0.205186	-4.4242	-0.2062	0.9177	-0.3972	5.42122
-3.84389	-0.235258	-1.43071	3.17184	0.524016	-3.8926	-0.2269	-4.0471	-0.3386	0.9603	-0.279	0.404392
-3.66531	-0.150456	-0.73116	3.41742	0.563746	-4.05737	-0.499499	-3.6563	-0.4228	0.9877	-0.1565	4.85257
-3.24847	-0.358595	-0.892704	3.19614	0.269635	-3.1684	-0.4076	-3.258	-0.4572	0.9995	-0.0314	1.73328
-2.84668	-0.298308	-1.06383	3.32708	0.287196	-2.78003	-0.539536	-2.8586	-0.4416	0.9956	0.0941	0.97431
-2.62587	-0.226732	-0.879964	3.45019	0.29426	-2.678	-0.2344	-2.4643	-0.3759	0.9759	0.2181	0.441152
-1.96106	-0.0759614	-1.6065	3.42551	0.179277	-1.60863	-0.194119	-2.0813	-0.2614	0.9409	0.3387	4.57081
-1.54169	0.108059	-1.47059	3.5153	0.192793	-1.5793	0.1041	-1.7157	-0.0998	0.891	0.454	0.240858
-0.915719	0.150758	-1.59159	3.3202	-0.0411644	-0.841528	0.114638	-1.3732	0.1064	0.8271	0.5621	1.87435
-0.865715	0.270596	-0.905237	3.44052	0.0570601	-1.014	0.3422	-1.0593	0.3539	0.7501	0.6613	4.7455
-0.692563	0.54747	-0.699049	3.77296	0.316928	-1.06332	0.913757	-0.7789	0.6388	0.6613	0.7501	3.868
-0.576866	0.945231	-0.927536	4.24076	0.56251	-0.6047	1.084	-0.5364	0.9565	0.5621	0.8271	2.35178
-0.390929	1.30276	-1.15155	4.434	0.56567	-0.337744	1.09531	-0.3356	1.3022	0.454	0.891	1.08358
-0.176372	1.70701	-1.27729	4.38425	0.356394	-0.0893	1.7321	-0.1797	1.6703	0.3388	0.9409	0.88744
-0.119775	2.05381	-0.883323	4.54758	0.351237	-0.123688	2.16367	-0.0712	2.055	0.2182	0.9759	0.872014
-0.104188	2.51445	-1.04188	4.73286	0.382456	-0.1228	2.5634	-0.0118	2.4503	0.0941	0.9956	0.393907
0.152442	2.9622	-1.06478	4.35959	-0.0583414	0.219258	3.10948	-0.0008	2.85	0	1	2.63731
0.111086	3.46872	-1.122	4.68703	0.244986	-0.0272	3.5155	0.0274	3.2487	0.1254	0.9921	2.33789
0.204317	3.8966	-1.44068	4.61457	0.103578	0.199518	3.46025	0.1054	3.6408	0.2487	0.9686	4.00583
0.127034	4.2167	-1.107	4.79273	0.223378	0.075	4.1208	0.2319	4.02	0.3682	0.9298	1.77756
0.505388	4.46799	-0.896028	4.2925	-0.256198	0.576081	4.04125	0.405	4.3803	0.4818	0.8763	6.9634
0.648777	4.59906	-0.654479	4.13287	-0.311589	0.6437	4.5268	0.6218	4.7162	0.5878	0.809	0.796296
0.785382	4.84139	-0.893461	4.11205	-0.219148	0.734588	4.62553	0.879	5.0222	0.6846	0.7289	1.29336
1.17273	5.22508	-1.20996	3.84861	-0.352187	1.2478	5.2722	1.1726	5.2935	0.7705	0.6374	1.22128
1.43946	5.43863	-0.822415	3.67069	-0.434271	1.4714	5.72669	1.4978	5.5259	0.8443	0.5358	2.20745
1.76585	5.74782	-1.00826	3.66104	-0.33206	1.779	5.8378	1.8496	5.7157	0.9048	0.4258	1.1441
2.25154	5.90874	-1.23448	3.42124	-0.408205	2.33384	5.91524	2.2224	5.86	0.9511	0.309	0.480909
2.79548	5.75431	-1.27351	2.94469	-0.628372	2.8053	5.6836	2.6104	5.9563	0.9823	0.1874	0.985957
3.21082	5.9266	-1.14118	3.16449	-0.241961	3.25234	6.23503	3.0073	6.0033	0.998	0.0628	2.87599
3.31373	6.01259	-0.603787	3.17153	-0.160667	3.235	6.0483	3.4071	6.0002	0.998	-0.0628	1.67881
3.79335	5.95378	-1.01179	3.00887	-0.241942	3.96701	5.89933	3.8032	5.947	0.9823	-0.1874	1.66673
3.96226	5.97015	-0.69568	3.04847	-0.140992	3.9082	5.9932	4.1896	5.8445	0.951	-0.309	0.730801
4.36364	5.95222	-0.896069	3.01545	-0.144948	4.59009	6.12656	4.5601	5.6944	0.9048	-0.4258	1.37027
4.9495	5.67903	-1.3281	2.67178	-0.336608	5.0111	5.6303	4.9089	5.4991	0.8443	-0.5358	1.43338
5.45059	5.47369	-1.46699	2.75484	-0.0816021	5.29433	5.25847	5.2305	5.2616	0.7705	-0.6374	1.77882
5.66058	5.0453	-1.1608	2.44323	-0.245843	5.5606	4.9663	5.5197	4.9857	0.6845	-0.729	2.78192
5.93286	4.79178	-1.05353	2.41765	-0.139252	5.75302	4.70962	5.7721	4.6757	0.5878	-0.809	0.813647
6.28823	4.29105	-1.33616	2.21542	-0.241516	6.2823	4.2289	5.9836	4.3365	0.4817	-0.8763	0.759423
6.59542	4.00758	-1.17976	2.30721	-0.0518251	6.52705	4.05766	6.151	3.9735	0.3681	-0.9298	0.584796
6.27144	3.57826	-0.648754	1.76298	-0.375883	6.0337	3.4825	6.2715	3.5924	0.2487	-0.9686	9.89384
6.3663	3.08884	-1.23881	1.48201	-0.547014	6.6348	3.12029	6.3433	3.1991	0.1253	-0.9921	3.37197
6.35511	2.97066	-0.716129	1.318	-0.529137	6.3968	3.0676	6.3653	2.8	0	-1	2.06814
6.44563	2.39957	-1.03609	1.58328	-0.158473	6.56541	2.10236	6.337	2.4012	-0.1253	-0.9921	5.27065
6.18392	1.91291	-1.20512	1.15283	-0.399263	6.0964	1.858	6.2591	2.0092	-0.2487	-0.9686	1.78089
6.06881	1.7914	-0.475061	1.06324	-0.276509	5.86071	1.8438	6.1325	1.63	-0.3681	-0.9298	3.2753
5.90251	1.44003	-0.797296	1.01533	-0.212945	5.8611	1.3789	5.9595	1.2696	-0.4818	-0.8763	0.915819
5.58274	0.945817	-1.40203	0.898258	-0.261071	5.44187	0.85031	5.7427	0.9338	-0.5878	-0.809	1.97723
5.40627	0.525667	-1.29437	0.969062	-0.147682	5.4554	0.5325	5.4855	0.6278	-0.6846	-0.729	0.436096
5.12814	0.357995	-1.00347	0.72605	-0.300729	5.25183	0.443252	5.1919	0.3565	-0.7705	-0.6374	1.18024
4.71679	0.0711248	-1.16583	0.559803	-0.318262	4.6675	0.0637	4.8667	0.1241	-0.8443	-0.5358	0.377495
4.4496	-0.12487	-0.943957	0.50975	-0.253111	4.59202	-0.127691	4.5149	-0.0658	-0.9048	-0.4258	0.45903
4.25568	-0.433107	-0.92713	0.68795	-0.0478219	4.311	-0.503	4.1421	-0.21	-0.9511	-0.309	1.10258
3.91819	-0.258865	-0.615089	0.0746966	-0.491539	3.64366	-0.167361	3.7541	-0.3064	-0.9823	-0.1874	4.33292
3.55715	-0.331501	-0.853638	-0.0184925	-0.399102	3.5071	-0.3867	3.3572	-0.3533	-0.998	-0.0628	0.704313
3.15543	-0.35631	-0.830902	-0.0825876	-0.322724	2.78053	-0.327096	2.9574	-0.3502	-0.998	0.0628	2.4062
2.54395	-0.226843	-1.26188	-0.32424	-0.398289	2.4254	-0.1884	2.5612	-0.297	-0.9823	0.1874	2.42592
2.11419	-0.229946	-1.0897	-0.218196	-0.21214	2.02654	-0.232237	2.1749	-0.1945	-0.9511	0.309	0.702141
1.76424	-0.0722158	-1.05008	-0.404144	-0.302568	1.7902	-0.0209	1.8043	-0.0445	-0.9048	0.4258	0.316488
1.44527	0.188645	-0.949016	-0.692679	-0.460623	1.36629	0.184603	1.4556	0.1509	-0.8443	0.5358	0.511602
1.38977	0.469587	-0.792453	-1.06767	-0.614492	1.4812	0.5214	1.134	0.3884	-0.7705	0.6374	1.37568
0.967096	0.822799	-1.16196	-0.9085	-0.262408	0.63573	0.532216	0.8448	0.6643	-0.6845	0.729	4.70917
0.660542	1.08084	-1.01628	-0.897792	-0.183392	0.6606	1.0183	0.5924	0.9743	-0.5878	0.809	0.434351
0.385733	1.34671	-0.799575	-0.758835	0.0679735	0.508857	1.81813	0.3809	1.3135	-0.4818	0.8763	4.64886
0.193147	1.54735	-0.718261	-0.777836	0.0282025	0.2278	1.5426	0.2135	1.6765	-0.3681	0.9298	0.108007
0.0562089	1.96862	-0.960939	-1.15488	-0.266634	0.0993284	2.38653	0.093	2.0576	-0.2487	0.9686	3.32232
0.0518994	2.43502	-0.969288	-1.60425	-0.527282	0.1671	2.4783	0.0212	2.4509	-0.1253	0.9921	1.54647
0.00756448	2.8834	-1.38825	-1.63835	-0.398704	-0.00213324	2.6545	-0.0008	2.85	0	1	1.99246
