px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.95323e-310
0.346335	-0.346335	0	0	0	0	0	0	0	0	0	2.06614
1.55067	-0.140378	1.81436	2.77556e-17	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.490411
1.62945	0.0182563	2.30924	-0.0348371	-0.0204345	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.65947
3.88548	-0.129998	3.6332	-0.202449	-0.12097	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.437187
3.95484	0.0727314	3.89844	0.074473	0.0414572	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	3.99824
6.86114	0.415774	4.70203	0.20031	0.0504749	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.0881891
6.7716	0.441005	3.69114	0.273985	0.155761	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.97745
9.07263	0.599172	4.04258	1.03029	-0.51775	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.345445
9.03433	0.676729	4.8517	0.584101	-0.32375	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.57699
11.5714	1.66803	5.49925	-0.191728	-0.392528	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.25972
11.5441	1.62695	3.91785	-0.316502	-0.522314	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.969013
13.5922	2.30621	2.94488	0.175694	0.16787	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.533863
13.6017	2.27063	3.02683	0.157568	0.155238	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.51014
16.6398	2.90094	4.33357	0.362739	0.188057	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.332736
16.5634	2.89114	3.24481	0.373957	0.225553	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.44014
19.0072	3.70744	3.66797	0.288648	0.0281884	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.110596
19.0652	3.72185	2.96152	0.245398	0.0268185	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.81618
21.3297	4.72982	3.41421	0.444176	0.134589	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0523868
21.3829	4.74055	3.21224	0.445258	0.14963	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.779484
24.0729	5.57148	4.02194	0.177917	-0.113356	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.24755
24.1688	5.59859	3.54957	0.121163	-0.163656	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.12487
26.6062	6.95378	3.49038	0.671791	0.290627	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.416535
26.5918	6.94891	3.46386	0.67039	0.290322	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0531855
29.5784	8.09136	3.96813	0.214477	-0.197782	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.634282
29.5564	8.08015	3.45293	0.204321	-0.223459	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.351451
31.9426	9.87063	3.58275	0.884797	0.353188	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.678446
31.8966	9.84945	3.50318	0.878723	0.351171	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.659471
34.6077	10.7084	2.3092	0.163009	-0.351996	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.30557
34.7133	10.7645	3.12991	0.132874	-0.330259	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.9203
37.1394	12.0789	3.46113	0.653471	0.209306	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.613915
37.215	12.1058	3.48353	0.681144	0.233477	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.48294
40.3195	13.4684	4.45953	0.238061	-0.207729	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.615462
40.2411	13.4337	3.51234	0.169714	-0.294477	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.77886
42.767	14.8213	3.57251	0.625139	0.189877	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.489812
42.7409	14.8154	3.47361	0.630063	0.196397	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.181739
45.3518	16.5522	4.31066	0.540135	0.00822626	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.18418
45.3877	16.5616	3.64354	0.555884	0.084734	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	1.13852
48.1503	17.287	3.75491	0.0980519	-0.260805	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.259191
48.123	17.2763	3.22313	0.0525799	-0.324049	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.303349
50.6214	19.0596	3.28182	0.888319	0.422382	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.232
50.5989	19.0453	3.4235	0.837378	0.359285	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.229065
53.716	19.9074	2.93139	0.0461474	-0.398923	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.5439
53.6817	19.9006	3.01701	0.0787425	-0.351102	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.362543
56.0315	21.0821	3.09396	0.582789	0.199169	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0.703689
55.9953	21.0691	2.98344	0.584309	0.204657	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.31869
58.6554	21.7875	3.5499	0.0686146	-0.262995	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.536224
58.652	21.784	3.26719	0.0236932	-0.318498	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.068057
60.874	22.7791	2.71135	0.459229	0.172761	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.581147
60.8506	22.7668	2.86542	0.430018	0.146247	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.23832
63.3768	23.411	3.47307	0.120228	-0.148234	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.233667
63.4581	23.438	2.93793	0.0465193	-0.231179	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.12684
66.3342	23.9897	4.12522	0.308766	0.0879634	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.425227
66.2262	23.9612	2.79676	0.37534	0.115415	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.8805
68.261	24.3617	2.75177	0.202632	-0.0670002	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0685485
68.3485	24.3929	2.7669	0.197511	-0.072986	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.99654
70.8239	24.882	3.56408	0.246024	0.00434693	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.103004
70.7849	24.8673	2.63129	0.26262	-0.00700489	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.628729
72.8907	24.7185	2.74363	-0.153072	-0.263045	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.135975
72.9406	24.7348	2.67786	-0.160892	-0.284569	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.694202
74.9999	25.25	2.43286	0.383246	0.229082	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.609941
74.9841	25.2482	2.28487	0.374432	0.22852	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0557049
77.1146	24.9435	2.64907	-0.482292	-0.443465	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.934064
77.1388	24.9491	2.52576	-0.529585	-0.501771	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.191253
79.1007	25.02	1.45195	0.0500009	0.203012	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.5576
79.1285	25.0077	1.83826	0.102366	0.261119	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.315835
80.8046	24.8745	2.33783	0.00107648	0.0349273	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.131301
80.8528	24.8822	1.89389	-0.0607463	-0.0588281	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.23704
82.6175	24.638	2.70726	-0.0517231	-0.016026	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0842762
82.5754	24.6218	2.11136	-0.165486	-0.228339	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.817381
84.1707	24.5449	2.33699	0.0280162	0.0264436	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.162053
84.1606	24.5483	1.94806	-0.0143999	-0.0557904	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.364026
85.6371	23.8144	2.18942	-0.506848	-0.320094	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.153612
85.6925	23.8256	2.20408	-0.534341	-0.379124	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.876852
86.9416	23.5156	1.16083	-0.250397	0.0151478	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.574235
87.0679	23.5477	1.32731	-0.183115	0.0607541	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.78581
88.8167	22.7954	2.92518	-0.496133	-0.172631	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.405461
